Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_001014696.2	0	0	3	1
NM_001169360.2	7	27	78	72
NM_001038713.4	2	7	16	14
NM_143657.5	3	4	3	4
NM_001258487.3	8	19	47	35
NM_001272130.1	2	2	16	20
NM_001014691.3	22	20	103	122
NM_166780.2	10	11	14	16
NM_143679.4	2	1	9	16
NM_001144385.2	0	0	0	2
NM_001103382.2	3	11	21	27
NM_079891.3	4	0	28	16
NR_123741.1	0	0	2	4
NR_123742.1	2	0	2	0
NM_001258473.1	1	0	0	0
NR_073612.1	0	0	2	3
NM_001258475.2	5	3	17	30
NR_073613.1	0	0	1	0
NM_001038709.3	4	0	14	10
NM_001258476.2	2	6	7	6
NM_001258477.2	34	26	221	179
NM_166720.3	0	0	1	0
NM_166724.4	0	0	4	12
NM_001169348.2	3	7	28	31
NM_175926.3	0	1	1	0
NM_175928.3	1	1	8	6
NR_073614.1	2	0	0	7
NM_166734.2	0	0	0	2
NR_123743.1	0	1	5	2
NM_001258479.3	1	1	5	3
NM_166736.4	1	2	20	12
NM_001258480.1	0	1	0	1
NM_166740.2	2	0	4	4
NR_123744.2	0	0	2	2
NM_001258481.2	21	8	90	102
NM_001258483.2	0	0	4	2
NM_001297783.1	2	1	15	8
NM_143655.4	9	15	38	32
NR_133502.1	2	0	3	4
NM_143656.2	0	3	4	1
NM_205866.3	9	8	71	90
NM_001258485.2	5	10	15	6
NM_001103381.3	0	0	2	0
NM_001272122.2	0	1	2	0
NM_205871.3	0	0	1	2
NM_166749.2	0	0	1	0
NM_166752.2	0	0	1	1
NM_001272123.1	13	17	58	65
NM_205872.2	0	1	3	4
NM_166753.3	1	2	12	16
NM_001272124.1	0	0	0	3
NM_001201585.2	0	0	0	1
NM_001014687.4	0	2	2	7
NM_001258491.3	0	0	5	0
NM_205873.3	0	2	0	0
NR_073617.1	0	0	5	2
NM_143665.4	116	218	898	924
NM_079883.3	1	0	55	43
NR_123746.1	2	2	23	27
NM_143666.3	100	178	933	1053
NM_001347760.1	13	18	84	85
NM_001272127.1	0	0	20	20
NM_001272126.2	0	0	1	0
NM_166766.3	0	0	1	2
NM_001297786.2	0	0	0	3
NR_073619.1	2	2	18	5
NM_001272132.1	0	2	4	11
NM_143669.2	0	0	1	0
NM_001272135.1	0	0	2	0
NM_166771.2	28	32	71	72
NM_166774.3	0	0	0	1
NM_166776.4	4	2	9	5
NM_079887.3	178	244	837	846
NM_143674.2	1	0	0	0
NM_001382172.1	1	0	4	2
NM_001382171.1	2	0	5	3
NM_001272141.1	0	1	5	2
NM_001272139.1	2	4	64	84
NM_001272140.1	0	1	0	1
NM_166788.2	8	9	64	39
NM_166787.2	1	4	25	35
NM_001272143.2	8	14	6	4
NM_001297787.1	0	0	0	1
NR_123748.1	0	4	6	1
NM_001272145.1	2	0	8	5
NM_001014695.2	2	6	24	12
NM_143694.3	0	0	4	6
NR_123749.1	0	0	0	1
NM_001169357.4	0	0	0	2
NM_001258497.2	0	0	2	2
NM_001297788.1	4	19	69	102
NR_123750.1	1	12	143	152
NM_001272147.1	0	0	2	8
NM_166798.2	0	0	3	4
NR_123751.1	0	0	0	1
NM_001169359.1	0	0	1	0
NM_001258499.2	47	40	295	268
NM_166805.4	1	1	10	12
NM_143687.4	0	1	2	2
NM_166807.3	0	2	13	14
NM_001297790.1	6	17	19	20
NM_143758.4	0	0	0	1
NM_143685.3	0	0	6	4
NM_001297793.1	0	2	10	0
NM_079892.3	6	8	27	22
NM_166824.3	14	11	154	148
NM_166825.3	3	6	10	9
NM_001169364.2	0	0	1	0
NM_001297794.1	3	0	12	17
NM_143682.4	0	3	7	11
NM_001014702.4	28	48	29	15
NM_001038717.2	1	0	1	0
NM_001258507.1	5	5	55	51
NM_001038725.2	2	5	17	39
NM_001038723.2	3	0	3	2
YP_009047266.1	167	162	194	197
YP_009047267.1	27002	39197	42728	42969
YP_009047268.1	5202	8281	7323	7135
YP_009047269.1	19	19	35	37
YP_009047270.1	4426	6157	7228	7171
YP_009047271.1	17471	24407	22548	22520
YP_009047272.1	639	939	568	597
YP_009047273.1	3452	4234	4828	4844
YP_009047274.1	3407	4462	3268	3165
YP_009047275.1	11	30	75	54
YP_009047276.1	4	5	22	16
YP_009047277.1	9600	13892	17611	17814
YP_009047278.1	2862	4229	3335	3388
NM_001169307.1	0	0	6	3
NM_001169306.2	1	3	2	6
NR_123768.1	22	34	229	172
NM_057511.4	9	2	23	10
NM_001272308.2	7	10	98	77
NM_001297925.1	0	0	2	0
NM_001297926.1	0	0	0	1
NM_167004.2	0	2	5	3
NM_167005.2	13	18	101	69
NM_206638.3	0	0	4	0
NM_001298124.1	26	43	168	169
NM_001298125.1	1	0	2	3
NM_132335.3	0	0	1	2
NM_001272483.1	0	0	1	0
NM_001169253.2	0	0	2	3
NM_001272557.1	2	2	7	6
NM_001298360.1	0	0	1	1
NM_133108.3	0	0	2	4
NM_130479.3	25	41	22	26
NR_073627.1	0	0	2	1
NM_001144668.2	0	0	2	1
NM_080136.3	0	2	4	0
NM_130497.4	29	31	75	96
NM_001272180.1	0	0	1	0
NM_166876.3	0	0	0	1
NM_001258532.1	0	1	0	1
NM_001169161.3	0	2	14	14
NM_001201595.2	0	1	5	0
NM_001258551.1	0	0	1	0
NM_001258552.1	0	0	2	0
NM_001258550.1	0	0	1	1
